,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,GENDER,Car,House,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,DAYS_EMPLOYED,MOBILE,WORK_PHONE,HOME_PHONE,MOBILE_REACHABLE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,APPLICATION_DAY,TOTAL_DOC_SUBMITTED
42,100049,1,Cash loans,F,N,N,0,135000.0,288873.0,238500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,-3597,1,1,1,1,0,Sales staff,2.0,THURSDAY,1
260,100300,1,Cash loans,M,N,N,0,63000.0,426645.0,324000.0,Other_A,Commercial associate,Secondary / secondary special,Single / not married,-1572,1,1,0,1,0,Sales staff,1.0,WEDNESDAY,1
424,100490,1,Cash loans,M,N,N,0,135000.0,755190.0,675000.0,Family,Working,Secondary / secondary special,Separated,-2354,1,1,1,1,0,Security staff,1.0,WEDNESDAY,1
563,100649,1,Cash loans,F,N,N,2,180000.0,284400.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,-4832,1,1,0,1,0,Laborers,4.0,SUNDAY,1
564,100650,1,Cash loans,M,N,N,0,135000.0,808650.0,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,-1496,1,1,1,1,0,Low-skill Laborers,1.0,SATURDAY,1
726,100839,1,Cash loans,M,N,N,0,180000.0,824823.0,688500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,-1815,1,1,0,1,0,Laborers,1.0,SATURDAY,1
782,100896,1,Cash loans,F,N,N,0,112500.0,1006920.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1252,1,1,1,1,0,Laborers,2.0,WEDNESDAY,1
866,100992,1,Cash loans,M,N,N,2,135000.0,203760.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1453,1,1,1,1,0,Laborers,4.0,SATURDAY,1
870,100996,1,Cash loans,F,N,N,1,94500.0,675000.0,675000.0,Unaccompanied,State servant,Higher education,Married,-1087,1,1,1,1,0,Sales staff,3.0,WEDNESDAY,1
1113,101300,1,Cash loans,F,N,N,0,81000.0,808650.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,-2631,1,1,1,1,0,Sales staff,2.0,THURSDAY,1
1192,101406,1,Cash loans,F,N,N,0,87750.0,454500.0,454500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,-2286,1,1,1,1,0,Laborers,1.0,WEDNESDAY,1
1235,101458,1,Cash loans,M,N,N,0,202500.0,479637.0,396000.0,Unaccompanied,Working,Higher education,Married,-1404,1,1,0,1,0,Laborers,2.0,THURSDAY,1
1597,101871,1,Cash loans,M,N,N,0,202500.0,675000.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,-2585,1,1,1,1,0,Laborers,2.0,WEDNESDAY,1
1731,102025,1,Cash loans,M,N,N,0,135000.0,117162.0,103500.0,Family,Working,Secondary / secondary special,Single / not married,-1149,1,1,0,1,0,Laborers,1.0,FRIDAY,1
1823,102135,1,Cash loans,F,N,N,0,360000.0,1236816.0,1080000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-5388,1,1,1,1,0,Managers,2.0,SATURDAY,1
2042,102392,1,Cash loans,M,N,N,0,67500.0,808650.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,-2576,1,1,0,1,0,Low-skill Laborers,2.0,SATURDAY,1
2055,102407,1,Cash loans,M,N,N,0,108000.0,254700.0,225000.0,Unaccompanied,Commercial associate,Incomplete higher,Single / not married,-1430,1,1,1,1,0,Core staff,1.0,TUESDAY,1
2537,102959,1,Cash loans,F,N,N,0,333000.0,297130.5,256500.0,Family,Working,Secondary / secondary special,Married,-3468,1,1,0,1,0,Sales staff,2.0,TUESDAY,1
2731,103187,1,Cash loans,F,N,N,2,121500.0,473661.0,333000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,-6162,1,1,0,1,0,Medicine staff,4.0,FRIDAY,1
2758,103217,1,Cash loans,F,N,N,0,90000.0,409500.0,409500.0,Unaccompanied,Working,Secondary / secondary special,Separated,-1767,1,1,1,1,0,Laborers,1.0,MONDAY,1
2848,103324,1,Cash loans,F,N,N,1,112500.0,1078200.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,-4213,1,1,0,1,0,Laborers,3.0,FRIDAY,1
3003,103507,1,Cash loans,M,N,N,0,225000.0,1350000.0,1350000.0,Unaccompanied,Commercial associate,Incomplete higher,Single / not married,-5326,1,1,0,1,0,Laborers,1.0,FRIDAY,1
3202,103739,1,Cash loans,F,N,N,1,135000.0,675000.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1676,1,1,0,1,0,Laborers,3.0,TUESDAY,1
3241,103782,1,Cash loans,F,N,N,0,90000.0,343800.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1735,1,1,1,1,0,Sales staff,2.0,THURSDAY,1
3774,104407,1,Cash loans,F,N,N,0,112500.0,136512.0,108000.0,Unaccompanied,Working,Secondary / secondary special,Married,-2294,1,1,1,1,0,Laborers,2.0,WEDNESDAY,1
3854,104508,1,Cash loans,F,N,N,0,135000.0,545040.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,-2497,1,1,1,1,0,Core staff,2.0,SATURDAY,1
